Name,Number,Dept,Pay,Manager
"Roehrich, Bianca",1111030266,IT/IS,58.5,Simon Roup
"Daniele, Ann  ",1411071312,IT/IS,54.1,Peter Monroe
"Lajiri,  Jyoti",1108028108,IT/IS,56.2,Peter Monroe
"Semizoglou, Jeremiah  ",904013591,IT/IS,53.8,Peter Monroe
"South, Joe",1308060959,IT/IS,53,Peter Monroe
"Warfield, Sarah",1301052347,IT/IS,55.2,Peter Monroe
"Bramante, Elisa",1006020066,Production,60,Janet King
"Albert, Michael  ",1501072311,Production,54.5,Janet King
"Bozzi, Charles",1303054580,Production,50.5,Janet King
"Butler, Webster  L",1110029990,Production,55,Janet King
"Dunn, Amy  ",1409070147,Production,51,Janet King
"Gray, Elijiah  ",1307060077,Production,54,Janet King
"Hogland, Jonathan ",1001944783,Production,48.5,Janet King
"Immediato, Walter",1403065874,Production,42,Janet King
"Liebig, Ketsia",1103024679,Production,55,Janet King
"Miller, Brannon",1107027351,Production,53,Janet King
"Peterson, Ebonee  ",1402065355,Production,38.5,Janet King
"Spirea, Kelley",1102024149,Production,52,Janet King
"Stanley, David ",1000974650,Production,53,Janet King
"Sullivan, Kissy ",1405067298,Production,55,Janet King
"Wallace, Courtney  E",1410071026,Production,33.5,Janet King
"Adinolfi, Wilson  K",1409070522,Production,20,Michael Albert
"Alagbe,Trina",1011022883,Production,21,Elijiah Gray
"Anderson, Carol ",1001417624,Production,16,Webster Butler
"Anderson, Linda  ",1304055947,Production,23,Amy Dunn
"Athwal, Sam",1301052124,Production,22,Ketsia Liebig
"Bachiochi, Linda",1212051409,Production,22,Brannon Miller
"Baczenski, Rachael  ",1307060083,Production,17,David Stanley
"Barbara, Thomas",1312063507,Production,22,Kissy Sullivan
"Barone, Francesco  A",1101023679,Production,16.76,Kelley Spirea
"Barton, Nader",1212051962,Production,18,Michael Albert
"Beatrice, Courtney ",1403066194,Production,22,Elijiah Gray
"Becker, Scott",1110029777,Production,17,Webster Butler
"Bernstein, Sean",1109029366,Production,16,Amy Dunn
"Biden, Lowan  M",1412071844,Production,22,Ketsia Liebig
"Billis, Helen",1308060366,Production,16,Brannon Miller
"Brill, Donna",1406068293,Production,20,David Stanley
"Bugali, Josephine ",1408069635,Production,20,Kissy Sullivan
"Carey, Michael  ",1311063114,Production,20,Kelley Spirea
"Chace, Beatrice ",1208048062,Production,16,Michael Albert
"Chan, Lin",1305057282,Production,19.5,Elijiah Gray
"Chang, Donovan  E",1111030129,Production,22,Webster Butler
"Chivukula, Enola",1101023394,Production,21,Amy Dunn
"Cierpiszewski, Caroline  ",1012023295,Production,22,Ketsia Liebig
"Clukey, Elijian",1407069280,Production,24.75,Brannon Miller
"Cockel, James",1599991009,Production,15,David Stanley
"Cole, Spencer",1001450968,Production,15,Kissy Sullivan
"Cornett, Lisa ",1403066069,Production,15.75,Kelley Spirea
"Crimmings,   Jean",1311063172,Production,19.75,Michael Albert
"Darson, Jene'ya ",1001109612,Production,15,Elijiah Gray
"DeGweck,  James",1306058816,Production,23.5,Webster Butler
"Desimone, Carl ",1501072124,Production,20,Amy Dunn
"Dickinson, Geoff ",706006285,Production,21,Ketsia Liebig
"DiNocco, Lily ",1209048696,Production,22,Brannon Miller
"Dobrin, Denisa  S",1202031618,Production,16.75,David Stanley
"Eaton, Marianne",1406067865,Production,17,Kissy Sullivan
"Engdahl, Jean",1007020403,Production,21.25,Kelley Spirea
"England, Rex",1101023612,Production,21,Kelley Spirea
"Estremera, Miguel",1104025243,Production,17,Michael Albert
"Evensen, April",1107027392,Production,18,Elijiah Gray
"Ferguson, Susan",1502072511,Production,20,Webster Butler
"Fernandes, Nilson  ",1302053339,Production,18,Amy Dunn
"Ferreira, Violeta",803009012,Production,23,Ketsia Liebig
"Fidelia,  Libby",1006020020,Production,24,Brannon Miller
"Garcia, Raul",1309061015,Production,19,David Stanley
"Garneau, Hamish",1104025414,Production,18,Kissy Sullivan
"Gaul, Barbara",1105026041,Production,24,Kelley Spirea
"Gentry, Mildred",1501072192,Production,19,Michael Albert
"Gerke, Melisa",1308060622,Production,22,Elijiah Gray
"Gilles, Alex",1008020960,Production,15,Webster Butler
"Girifalco, Evelyn",1204032927,Production,16,Amy Dunn
"Gold, Shenice  ",1408069539,Production,17,Ketsia Liebig
"Gonzalez, Cayo",1411071212,Production,16,Brannon Miller
"Gordon, David",1106026579,Production,15,David Stanley
"Goyal, Roxana",1312063675,Production,24,Kissy Sullivan
"Gross, Paula",1103024859,Production,14,Kelley Spirea
"Handschiegl, Joanne",1405067064,Production,24,Michael Albert
"Harrell, Ludwick",1406068241,Production,21,Elijiah Gray
"Harrington, Christie ",1110029602,Production,19.75,Webster Butler
"Harrison, Kara",1404066622,Production,20,Amy Dunn
"Heitzman, Anthony",1002017900,Production,19,Ketsia Liebig
"Ivey, Rose ",1408069882,Production,16,Brannon Miller
"Jackson, Maryellen",1201031438,Production,20,David Stanley
"Jacobi, Hannah  ",1503072857,Production,21,Kissy Sullivan
"Jhaveri, Sneha  ",1412071713,Production,19,Kelley Spirea
"Johnson, George",1105025721,Production,17,Michael Albert
"Jung, Judy  ",1107027450,Production,21,Elijiah Gray
"Keatts, Kramer ",1301052462,Production,19,Michael Albert
"Kinsella, Kathleen  ",710007401,Production,22,Webster Butler
"Kirill, Alexandra  ",903013071,Production,24,Amy Dunn
"Knapp, Bradley  J",1304055683,Production,14,Ketsia Liebig
"Kretschmer, John",1311062610,Production,21,Brannon Miller
"Langton, Enrico",1304055987,Production,17,David Stanley
"Leach, Dallas",1408069409,Production,19,Kissy Sullivan
"LeBel, Jonathan  R",1107027575,Production,15,Kelley Spirea
"Linares, Marilyn ",1206042315,Production,15.25,Michael Albert
"Lydon, Allison",1101023353,Production,20,Elijiah Gray
"Lynch, Lindsay",1001138521,Production,19,Webster Butler
"MacLennan, Samuel",1201031032,Production,15,Amy Dunn
"Mahoney, Lauren  ",1209049259,Production,17,Ketsia Liebig
"Mangal, Debbie",1308060754,Production,23,Brannon Miller
"Maurice, Shana",1401064327,Production,20,David Stanley
"Mckenna, Sandy",909015167,Production,24,Kissy Sullivan
"Meads, Elizabeth",1409070245,Production,14,Kelley Spirea
"Medeiros, Jennifer",1109029256,Production,20,Michael Albert
"Motlagh,  Dawn",1102024121,Production,15,Elijiah Gray
"Ndzi, Colombui",1204033041,Production,18,Webster Butler
"Ndzi, Horia",1204033041,Production,22,Amy Dunn
"Newman, Richard ",1302053044,Production,21,Ketsia Liebig
"Ngodup, Shari ",1403066020,Production,15,Brannon Miller
"Nguyen, Lei-Ming",1203032357,Production,19,David Stanley
"O'hare, Lynn",1206044851,Production,18.5,Kissy Sullivan
"Osturnka, Adeel",1404066949,Production,16,Kelley Spirea
"Owad, Clinton",1103024335,Production,22,Michael Albert
"Panjwani, Nina",1109029531,Production,18,Elijiah Gray
"Pelech, Emil",1307060058,Production,24,Webster Butler
"Perry, Shakira",1109029186,Production,22,Amy Dunn
"Peterson, Kayla ",1307059944,Production,17,Ketsia Liebig
"Pham, Hong",1305057440,Production,18,Brannon Miller
"Pitt, Brad ",1001735072,Production,17,David Stanley
"Power, Morissa",1102024274,Production,19,Kissy Sullivan
"Punjabhi, Louis  ",1401064562,Production,16,Kelley Spirea
"Purinton, Janine",1011022926,Production,16,Kissy Sullivan
"Rarrick, Quinn",1208048229,Production,21,Michael Albert
"Rhoads, Thomas",1211050793,Production,20,Elijiah Gray
"Rivera, Haley  ",1405067642,Production,22,Webster Butler
"Robinson, Alain  ",1206038000,Production,24,Amy Dunn
"Robinson, Cherly",1403065625,Production,16,Ketsia Liebig
"Robinson, Elias",1011022887,Production,17,Brannon Miller
"Rose, Ashley  ",710007555,Production,17,David Stanley
"Rossetti, Bruno",1405067492,Production,18,Kissy Sullivan
"Saar-Beckles, Melinda",1410070998,Production,20,Kelley Spirea
"Sadki, Nore  ",1308060535,Production,21,Michael Albert
"Sander, Kamrin",1302053362,Production,21,Elijiah Gray
"Sewkumar, Nori",807010161,Production,15.2,Webster Butler
"Shields, Seffi",1205033102,Production,15,Amy Dunn
"Smith, Sade",1501071909,Production,24.5,Ketsia Liebig
"Sparks, Taylor  ",1410071137,Production,16,Brannon Miller
"Squatrito, Kristen",1405067138,Production,21,David Stanley
"Stanford,Barbara  M",1111030244,Production,14,Kissy Sullivan
"Stoica, Rick",1106026896,Production,22,Kelley Spirea
"Sullivan, Timothy",1201031310,Production,19,Michael Albert
"Sutwell, Barbara",1407069061,Production,14,Elijiah Gray
"Tavares, Desiree  ",1405067501,Production,15,Webster Butler
"Theamstern, Sophia",1404066739,Production,20,Amy Dunn
"Tinto, Theresa  ",1103024504,Production,20,Ketsia Liebig
"Tippett, Jeanette",1409070255,Production,24,Brannon Miller
"Trang, Mei",1012023152,Production,22,David Stanley
"Veera, Abdellah ",1203032235,Production,19,Kissy Sullivan
"Volk, Colleen",1011022814,Production,21,Kelley Spirea
"Von Massenbach, Anna",1106026474,Production,20,Michael Albert
"Wallace, Theresa",1101023619,Production,15,Elijiah Gray
"Whittier, Scott",1307060212,Production,23,Webster Butler
"Wilber, Barry",1101023839,Production,21,Amy Dunn
"Williams, Jacquelyn  ",1308060671,Production,16,Ketsia Liebig
"Ybarra, Catherine ",1001268402,Production,22,Brannon Miller
"Zima, Colleen",1211051232,Production,15,David Stanley
"Akinkuolie, Sarah",1005019209,Production,29,Kissy Sullivan
"Beak, Kimberly  ",1303054329,Production,27,Kelley Spirea
"Blount, Dianna",1403066125,Production,27,Michael Albert
"Bondwell, Betsy",1008021030,Production,26,Elijiah Gray
"Buccheri, Joseph  ",1101023457,Production,22,Webster Butler
"Burke, Joelle",1011022820,Production,25,Amy Dunn
"Burkett, Benjamin ",1301052449,Production,26,Ketsia Liebig
"Cloninger, Jennifer",1012023226,Production,25,Brannon Miller
"Close, Phil",1209048697,Production,26,David Stanley
"Davis, Daniel",1201031274,Production,25,Kissy Sullivan
"Demita, Carla",1104025179,Production,29,Kelley Spirea
"Erilus, Angela",1105025661,Production,24,Michael Albert
"Faller, Megan ",1108028428,Production,27,Elijiah Gray
"Fancett, Nicole",1402065085,Production,24,Webster Butler
"Fitzpatrick, Michael  J",1109029103,Production,29,Amy Dunn
"Foreman, Tanya",1012023204,Production,24,Ketsia Liebig
"Gonzalez, Juan",1411071324,Production,29,Brannon Miller
"Good, Susan",1001549006,Production,24.25,David Stanley
"Gosciminski, Phylicia  ",1108028351,Production,27,Kissy Sullivan
"Hankard, Earnest",1307059937,Production,24,Kelley Spirea
"Hendrickson, Trina",1011022932,Production,24,Kelley Spirea
"Homberger, Adrienne  J",1207046956,Production,28,Michael Albert
"Hunts, Julissa",1106026433,Production,25,Elijiah Gray
"Hutter, Rosalie",1103024924,Production,28,Webster Butler
"Huynh, Ming",1306058509,Production,23,Amy Dunn
"Jeannite, Tayana",1008020942,Production,22.5,Ketsia Liebig
"Johnston, Yen",1306057810,Production,25,Brannon Miller
"Langford, Lindsey",1010022030,Production,22,David Stanley
"Latif, Mohammed",1104025486,Production,28,Kissy Sullivan
"Linden, Mathew",1405067565,Production,22,Kelley Spirea
"Lundy, Susan",1305056276,Production,24,Michael Albert
"Lunquist, Lisa",1001504432,Production,26.1,Elijiah Gray
"Manchester, Robyn",1110029623,Production,23,Webster Butler
"Mancuso, Karen",1304055986,Production,23,Amy Dunn
"McCarthy, Brigit",1406067957,Production,26,Ketsia Liebig
"Miller, Ned",1205033439,Production,25,Brannon Miller
"Monkfish, Erasumus  ",1404066711,Production,27,David Stanley
"Monterro, Luisa",1001103149,Production,25,Kissy Sullivan
"Moran, Patrick",1408069503,Production,26,Kelley Spirea
"Moumanil, Maliki ",1301052436,Production,29,Michael Albert
"Nowlan, Kristie",1104025435,Production,26.39,Elijiah Gray
"Oliver, Brooke ",1001856521,Production,25,Webster Butler
"Pelletier, Ermine",1202031821,Production,28,Amy Dunn
"Peters, Lauren",1411071406,Production,29,Ketsia Liebig
"Petingill, Shana  ",1103024843,Production,26,Brannon Miller
"Roberson, May",1402065340,Production,26,David Stanley
"Robertson, Peter",1499902991,Production,22,Kissy Sullivan
"Sahoo, Adil",1106026462,Production,29,Kelley Spirea
"Sloan, Constance",1012023103,Production,23,Michael Albert
"Smith, Joe",1001970770,Production,22,Elijiah Gray
"Tejeda, Lenora ",1406068345,Production,28.75,Elijiah Gray
"Thibaud, Kenneth",1011022777,Production,23,Webster Butler
"Trzeciak, Cybil",1107027551,Production,22,Amy Dunn
"Walker, Roger",1011022818,Production,22,Ketsia Liebig
"Winthrop, Jordan  ",1405067188,Production,29,Brannon Miller
"Wolk, Hang  T",1205033180,Production,22,David Stanley
"Woodson, Jason",1012023010,Production,24.25,Kissy Sullivan
"Buck, Edward",1504073313,Sales,55,Lynn Daneault
"Bunbury, Jessica",1504073368,Sales,55,John Smith
"Carter, Michelle ",1403065721,Sales,55,John Smith
"Costa, Latia",1409070567,Sales,55,Lynn Daneault
"Dietrich, Jenna  ",1408069481,Sales,55,John Smith
"Digitale, Alfred",1306059197,Sales,56,John Smith
"Fraval, Maruk ",1411071302,Sales,55,Lynn Daneault
"Friedman, Gerry",1204032843,Sales,55.5,John Smith
"Gill, Whitney  ",1302053046,Sales,55,John Smith
"Givens, Myriam",1203032099,Sales,55,Lynn Daneault
"Gonzales, Ricardo",1411071481,Sales,55.5,John Smith
"Guilianno, Mike",1001167253,Sales,55,John Smith
Jeremy Prater,1001084890,Sales,56,Lynn Daneault
"Khemmich, Bartholemew",1104025008,Sales,55,Lynn Daneault
"Leruth, Giovanni",1412071660,Sales,55,John Smith
"Martins, Joseph",1209048771,Sales,56,Lynn Daneault
"McKinzie, Jac",1209049326,Sales,55,Lynn Daneault
"Mullaney, Howard",1306057978,Sales,55,John Smith
"Nguyen, Dheepa",1111030684,Sales,55,Lynn Daneault
"Onque, Jasmine",1501072180,Sales,57,Lynn Daneault
"Ozark, Travis",812011761,Sales,55,John Smith
"Potts, Xana",1102024106,Sales,55,Lynn Daneault
"Riordan, Michael",1502072711,Sales,55,Lynn Daneault
"Strong, Caitrin",1411071295,Sales,54,John Smith
"Terry, Sharlene ",1401064637,Sales,55,Lynn Daneault
"Valentin,Jackie",1312063714,Sales,55,John Smith
"Villanueva, Noah",1111030503,Sales,56,John Smith
"Houlihan, Debra",1009021646,Sales,60,Janet King
"Daneault, Lynn",1402065303,Sales,54,Debra Houlihan
"Kampew, Donysha    ",1109029264,Sales,60.25,Debra Houlihan
"Smith, John",1499902910,Sales,56,Debra Houlihan
"Andreola, Colby",1107027358,Software Engineering,47.6,Alex Sweetwater
"Carabbio, Judith",1101023577,Software Engineering,56,Alex Sweetwater
"Del Bosque, Keyla",1203032498,Software Engineering,57.12,Alex Sweetwater
"Exantus, Susan",1401064670,Software Engineering,48.5,Alex Sweetwater
"Martin, Sandra",1303054625,Software Engineering,55.51,Alex Sweetwater
"Patronick, Luke",1112030979,Software Engineering,52.25,Alex Sweetwater
"Saada, Adell",1012023185,Software Engineering,49.25,Alex Sweetwater
"Szabo, Andrew",1201031324,Software Engineering,48,Alex Sweetwater
"True, Edward",1102024057,Software Engineering,45.42,Alex Sweetwater
"Sweetwater, Alex",1001644719,Software Engineering,27,Jennifer Zamora

